Number,Category,Answer,Content,Commentary
0,OX,0,"자동차의 적색 경고등은 해당 장치에 문제가 발생하였음을 나타내는데, 점등 시 주의가 필요하다는 의미이다.",
1,OX,0,외기 온도 센서는 차량의 전면부에 위치하여 주행 중 서미스터(PTC)로 외부 공기의 온도를 측정하는 센서이다.,
2,Connect,1C2D3A4B,응축기;리시버드라리어;핀서모센서;팽창밸브;증발기 코어에 위치;블록형과 앵글형;라디에이터 앞에 위치;수분을 제거;,
3,Connect,1C2B3A4D,"토크컨버터;유성기어장치;유압제어기구;매뉴얼 레버;오일펌프, 밸브바디, 솔레노이드밸브;선기어, 링기어, 캐리어;",
4,Connect,1C2A3B4D,오일펌프;동력실린더;제어밸브;안전체크밸브;피스톤과 피스톤 로드로 구성;조향력을 조절;엔진 크랭크축에 의해 구동;고장 시 수동으로 휠을 작동;,
5,SAQ,산소센서;O2센서,전자제어 가솔린엔진에서 사용되는 센서는?;엔진 ECU에 의해 분사된 연료량의 수치를 확인하기 위해 장착한 센서로 공연비를 감지하는 용도로 사용된다.,
6,SAQ,120,종단저항;주선이 단선된 경우 (   )Ω의 종단 저항이 측정된다.,
7,SAQ,AFS;공기유량센서;AIR FLOW SENSOR,전자제어 디젤엔진에서 사용되는 센서는?;실린더로 유입되는 공기 변화량을 감지하여 EGR 밸브를 작동시켜 배기가스 속에 질소산화물 배출을 감소시킨다.,
8,SAQ,클러치 포인트,자동변속기에 관한 내용;스테이터의 회전수가 (   )을 벗어나면 토크 컨버터는 유체 클러치로 작용하여 토크 증대 작용이 일어나지 않기 때문에 토크 변환 비율은 1이 된다.,
9,SAQ,,,
10,SAQ,,,
11,SAQ,,,
12,SAQ,,,
,MC,,,
